2026-07-08T04:16:51+00:00 [vnseea_call_debug] type=live_create user_id=1 role=host status=200 post_id=4155 stream_name=rn_live_1_1783484210630 room_name=wowonder_live_rn_live_1_1783484210630 ws_url=wss://livekit.hisotechgroup.vn started_at=1783484211
2026-07-08T04:17:20+00:00 [vnseea_call_debug] type=live_join user_id=5 role=viewer status=200 post_id=4155 stream_name=rn_live_1_1783484210630 room_name=wowonder_live_rn_live_1_1783484210630 ws_url=wss://livekit.hisotechgroup.vn stream_state=live heartbeat_age=0
2026-07-08T04:19:00+00:00 [vnseea_call_debug] type=check user_id=1 call_id=235 call_type=video status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-08T04:19:00+00:00 [vnseea_call_debug] type=check user_id=1 call_id=235 call_type=video status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-08T04:19:01+00:00 [vnseea_call_debug] type=check user_id=1 call_id=235 call_type=video status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-08T04:19:01+00:00 [vnseea_call_debug] type=check user_id=1 call_id=235 call_type=video status=answered active=1 started_at=1783484341 started_at_ms=1783484341000 elapsed=0 elapsed_ms=812
2026-07-08T04:19:01+00:00 [vnseea_call_debug] type=payload user_id=1 call_id=235 call_type=video raw_room_name=e87a307190caad2f5a65a3f19839472ad281d6c4 livekit_room=wowonder60af68fa6a36bb50349669b1cbdff00f token_room=wowonder60af68fa6a36bb50349669b1cbdff00f status=answered active=1 started_at=1783484341 started_at_ms=1783484341000 elapsed=0 elapsed_ms=977 ws_url=wss://livekit.hisotechgroup.vn
2026-07-08T04:19:02+00:00 [vnseea_call_debug] type=check user_id=1 call_id=235 call_type=video status=answered active=1 started_at=1783484341 started_at_ms=1783484341000 elapsed=1 elapsed_ms=1357
2026-07-08T04:19:04+00:00 [vnseea_call_debug] type=check user_id=1 call_id=235 call_type=video status=answered active=1 started_at=1783484341 started_at_ms=1783484341000 elapsed=3 elapsed_ms=3091
2026-07-08T04:19:06+00:00 [vnseea_call_debug] type=check user_id=1 call_id=235 call_type=video status=ended active=0 started_at=1783484341 started_at_ms=1783484341000 elapsed=5 elapsed_ms=5431
2026-07-08T04:19:23+00:00 [vnseea_call_debug] type=close_voip_push call_id=235 call_type=video status=declined actor_id=1694 recipient_id=1 sent=1
2026-07-08T04:19:24+00:00 [vnseea_call_debug] type=close_voip_push call_id=235 call_type=video status=declined actor_id=1694 recipient_id=5 sent=1
2026-07-10T08:56:52+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:52+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:52+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:53+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:54+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:54+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:54+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:55+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:56+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:56+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:56+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:57+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:58+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:56:58+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
